,date,shown,clicked,converted,avg_cost_per_click,total_revenue,ad
51,11/21/15,73793,2953,49,0.99,1211.82,ad_group_1
52,11/22/15,75829,3106,46,0.98,364.25,ad_group_1
53,10/1/15,50988,1267,109,0.7,1704.28,ad_group_2
54,10/2/15,51934,1035,140,0.58,918.21,ad_group_2
55,10/3/15,53386,1041,123,0.56,1548.48,ad_group_2
56,10/4/15,52008,1521,127,0.76,1911.39,ad_group_2
57,10/5/15,48766,1153,108,0.65,1403.14,ad_group_2
58,10/6/15,53933,1331,136,0.69,1901.33,ad_group_2
59,10/7/15,51941,1235,118,0.67,1894.71,ad_group_2
60,10/8/15,50748,1048,123,0.59,3005.56,ad_group_2
61,10/9/15,50312,1066,125,0.61,2250.06,ad_group_2
62,10/10/15,53533,1075,119,0.6,1992.92,ad_group_2
63,10/11/15,47941,1101,118,0.65,2227.14,ad_group_2
64,10/12/15,53353,1423,127,0.7,2065.1,ad_group_2
65,10/13/15,49002,1158,114,0.66,2287.92,ad_group_2
66,10/14/15,50939,1029,119,0.57,1695.66,ad_group_2
67,10/15/15,48257,1205,123,0.67,430.37,ad_group_2
68,10/16/15,52733,1330,113,0.65,2493.41,ad_group_2
69,10/17/15,49110,1071,121,0.65,2365.13,ad_group_2
70,10/18/15,55660,1641,141,0.78,440.24,ad_group_2
71,10/19/15,50216,1010,111,0.58,2328.17,ad_group_2
72,10/20/15,49984,1000,129,0.6,1864.54,ad_group_2
73,10/21/15,51055,960,112,0.57,1845.74,ad_group_2
74,10/22/15,51654,1146,118,0.62,2057.76,ad_group_2
75,10/23/15,53604,1191,122,0.6,1248.01,ad_group_2
76,10/24/15,48302,1154,94,0.65,1891.32,ad_group_2
77,10/25/15,48399,1061,113,0.63,2199.69,ad_group_2
78,10/26/15,52221,1213,134,0.66,951.14,ad_group_2
79,10/27/15,49410,1029,118,0.59,1042.4,ad_group_2
80,10/28/15,51993,1083,101,0.57,1287.85,ad_group_2
81,10/29/15,50675,1335,119,0.69,1534.07,ad_group_2
82,10/30/15,50290,1031,122,0.57,1471.69,ad_group_2
83,10/31/15,53007,1155,110,0.63,2352.1,ad_group_2
84,11/1/15,47468,1217,101,0.69,2113.0,ad_group_2
85,11/2/15,53939,1306,113,0.67,778.67,ad_group_2
86,11/3/15,50997,1107,111,0.6,2167.92,ad_group_2
87,11/4/15,49060,847,103,0.51,2265.14,ad_group_2
88,11/5/15,51693,1292,113,0.67,1611.21,ad_group_2
89,11/6/15,49667,908,97,0.55,2535.77,ad_group_2
90,11/7/15,52022,1476,118,0.74,2116.45,ad_group_2
91,11/8/15,52982,1334,114,0.68,2135.71,ad_group_2
92,11/9/15,50647,888,103,0.55,1480.98,ad_group_2
93,11/10/15,49352,1022,111,0.6,662.71,ad_group_2
94,11/11/15,48553,1268,106,0.7,1278.88,ad_group_2
95,11/12/15,53666,1068,127,0.59,1871.44,ad_group_2
96,11/13/15,52435,1488,131,0.76,3173.49,ad_group_2
97,11/14/15,48691,1301,115,0.67,2115.85,ad_group_2
98,11/15/15,54047,1183,121,0.61,2341.65,ad_group_2
99,11/16/15,47593,929,123,0.58,2108.54,ad_group_2
100,11/17/15,51745,1302,118,0.71,2142.97,ad_group_2
101,11/18/15,52999,1510,128,0.76,2068.47,ad_group_2
102,11/19/15,49519,761,110,0.51,1234.64,ad_group_2
103,11/20/15,51178,1201,126,0.66,1469.36,ad_group_2
104,11/21/15,53358,1277,139,0.67,1644.55,ad_group_2
105,11/22/15,50115,1129,114,0.64,601.74,ad_group_2
106,10/1/15,148198,13842,47,2.69,1103.29,ad_group_3
107,10/2/15,149873,13196,57,2.55,710.92,ad_group_3
108,10/3/15,155892,12722,55,2.47,668.29,ad_group_3
109,10/4/15,162137,15916,68,2.84,685.32,ad_group_3
110,10/5/15,167083,13905,53,2.5,713.7,ad_group_3
111,10/6/15,169790,17745,52,2.92,437.56,ad_group_3
112,10/7/15,169036,15374,59,2.53,1010.86,ad_group_3
113,10/8/15,165062,13505,63,2.41,954.02,ad_group_3
114,10/9/15,164310,14891,67,2.61,1053.12,ad_group_3
115,10/10/15,165674,15387,56,2.72,852.89,ad_group_3
116,10/11/15,168555,15873,66,2.57,1007.31,ad_group_3
117,10/12/15,166453,14205,55,2.42,919.98,ad_group_3
118,10/13/15,170787,17306,51,2.8,679.38,ad_group_3
119,10/14/15,174169,15124,54,2.49,956.04,ad_group_3
120,10/15/15,168138,20848,66,3.21,761.82,ad_group_3
121,10/16/15,173114,15002,55,2.57,1075.94,ad_group_3
122,10/17/15,166300,18623,63,2.98,813.59,ad_group_3
123,10/18/15,167463,13897,57,2.49,1098.22,ad_group_3
124,10/19/15,170401,15537,61,2.6,788.52,ad_group_3
125,10/20/15,176147,17121,66,2.77,1100.39,ad_group_3
126,10/21/15,171827,17571,65,2.84,1096.44,ad_group_3
127,10/22/15,173992,20789,56,3.17,764.7,ad_group_3
128,10/23/15,178666,16910,60,2.69,1180.53,ad_group_3
129,10/24/15,172566,16290,55,2.62,586.47,ad_group_3
130,10/25/15,171835,15424,60,2.66,827.59,ad_group_3
131,10/26/15,167588,14278,48,2.61,899.76,ad_group_3
132,10/27/15,166924,18142,56,2.95,657.8,ad_group_3
133,10/28/15,165976,11521,56,2.27,1109.67,ad_group_3
134,10/29/15,175382,12994,66,2.35,726.2,ad_group_3
135,10/30/15,167348,16946,58,2.98,423.63,ad_group_3
136,10/31/15,177567,19281,66,3.03,1106.48,ad_group_3
137,11/1/15,174817,14789,61,2.41,958.47,ad_group_3
138,11/2/15,170371,13185,65,2.16,146.67,ad_group_3
139,11/3/15,166736,15003,57,2.48,663.82,ad_group_3
140,11/4/15,185456,17034,70,2.61,1276.38,ad_group_3
141,11/5/15,181327,17029,60,2.57,609.55,ad_group_3
142,11/6/15,179641,17211,59,2.54,917.08,ad_group_3
143,11/7/15,175998,16334,61,2.6,342.34,ad_group_3
144,11/8/15,177030,16590,48,2.7,631.64,ad_group_3
145,11/9/15,171919,17656,50,2.74,877.76,ad_group_3
146,11/10/15,173890,17429,55,2.74,1075.39,ad_group_3
147,11/11/15,177352,13319,67,2.23,1487.61,ad_group_3
148,11/12/15,164968,16970,58,2.76,1219.31,ad_group_3
149,11/13/15,161983,18414,51,2.96,1356.62,ad_group_3
150,11/14/15,170795,17221,71,2.77,1199.74,ad_group_3
151,11/15/15,163944,16796,55,2.99,701.02,ad_group_3
152,11/16/15,158095,14451,57,2.65,898.02,ad_group_3
153,11/17/15,170013,14245,61,2.4,769.21,ad_group_3
154,11/18/15,175036,17086,53,2.8,1314.47,ad_group_3
155,11/19/15,175120,17720,67,2.75,1581.06,ad_group_3
156,11/20/15,167515,19102,50,3.09,634.37,ad_group_3
157,11/21/15,157500,18173,48,3.04,192.84,ad_group_3
158,11/22/15,162434,15964,49,2.86,340.0,ad_group_3
159,10/1/15,76786,7383,408,2.82,8392.27,ad_group_4
160,10/2/15,81869,6751,410,2.64,2002.69,ad_group_4
161,10/3/15,83304,7588,482,2.7,4993.53,ad_group_4
162,10/4/15,89154,5884,532,2.34,11691.53,ad_group_4
163,10/5/15,83704,5460,355,2.07,4716.43,ad_group_4
164,10/6/15,88400,6364,462,2.33,7314.58,ad_group_4
165,10/7/15,91590,6846,435,2.31,5007.81,ad_group_4
166,10/8/15,95398,7489,504,2.34,9687.23,ad_group_4
167,10/9/15,90547,10061,518,3.15,9883.35,ad_group_4
168,10/10/15,97211,8046,495,2.67,9042.51,ad_group_4
169,10/11/15,91278,8906,448,2.68,6758.15,ad_group_4
170,10/12/15,92607,8462,615,2.82,9780.44,ad_group_4
171,10/13/15,96408,9073,407,2.66,4976.22,ad_group_4
172,10/14/15,99376,7622,585,2.33,11242.3,ad_group_4
173,10/15/15,94146,7878,473,2.51,7137.66,ad_group_4
174,10/16/15,87338,7467,428,2.5,4670.9,ad_group_4
175,10/17/15,88258,8173,422,2.67,3543.16,ad_group_4
176,10/18/15,94097,10293,462,3.08,4303.01,ad_group_4
177,10/19/15,92098,7616,557,2.54,5404.33,ad_group_4
178,10/20/15,91104,8470,469,2.59,9861.93,ad_group_4
179,10/21/15,92113,8068,533,2.73,11224.68,ad_group_4
180,10/22/15,95558,6371,520,2.18,8187.12,ad_group_4
181,10/23/15,93705,6818,499,2.24,8082.53,ad_group_4
182,10/24/15,90312,8502,492,2.77,11524.66,ad_group_4
183,10/25/15,95488,6512,470,2.29,6527.6,ad_group_4
184,10/26/15,99116,9115,579,2.69,5442.57,ad_group_4
185,10/27/15,86823,5533,480,1.96,3837.1,ad_group_4
186,10/28/15,91067,6486,379,2.24,6913.0,ad_group_4
187,10/29/15,90133,8498,534,2.81,6862.48,ad_group_4
188,10/30/15,97793,7623,527,2.39,10208.65,ad_group_4
189,10/31/15,93748,9352,528,2.83,6815.45,ad_group_4
190,11/1/15,93170,9606,523,2.81,9800.3,ad_group_4
191,11/2/15,95686,6801,548,2.27,8270.52,ad_group_4
192,11/3/15,94865,8430,530,2.62,7833.98,ad_group_4
193,11/4/15,90584,6622,473,2.27,8770.6,ad_group_4
194,11/5/15,97512,8063,603,2.75,10105.39,ad_group_4
195,11/6/15,97299,8679,497,2.75,5122.17,ad_group_4
196,11/7/15,92297,7954,554,2.48,14174.0,ad_group_4
197,11/8/15,89455,8518,365,2.61,6793.77,ad_group_4
198,11/9/15,94671,7557,545,2.48,9370.2,ad_group_4
199,11/10/15,94852,7989,469,2.6,5667.89,ad_group_4
200,11/11/15,90748,7333,369,2.44,5580.96,ad_group_4
201,11/12/15,91807,0,0,0.0,0.0,ad_group_4
202,11/13/15,93681,6506,562,2.17,5211.39,ad_group_4
203,11/14/15,97330,9240,500,2.86,6782.65,ad_group_4
204,11/15/15,0,0,0,0.0,0.0,ad_group_4
205,11/16/15,91300,9093,409,2.75,5383.36,ad_group_4
206,11/17/15,91499,8284,463,2.7,8464.84,ad_group_4
207,11/18/15,95304,7457,514,2.47,6020.44,ad_group_4
208,11/19/15,92897,8240,474,2.62,7861.59,ad_group_4
209,11/20/15,95726,7599,524,2.28,7658.51,ad_group_4
210,11/21/15,96179,8025,494,2.49,6668.42,ad_group_4
211,11/22/15,91684,7051,580,2.54,9644.26,ad_group_4
212,10/1/15,44544,2993,201,2.01,3688.8,ad_group_5
213,10/2/15,46663,2765,176,1.92,2978.13,ad_group_5
214,10/3/15,47227,3410,184,2.22,3220.82,ad_group_5
215,10/4/15,47088,3399,211,2.26,1518.43,ad_group_5
216,10/5/15,43155,2619,184,1.95,4753.32,ad_group_5
217,10/6/15,48936,2805,188,1.96,3839.81,ad_group_5
218,10/7/15,46907,3202,176,2.09,3130.98,ad_group_5
219,10/8/15,51637,3091,224,1.92,2435.29,ad_group_5
220,10/9/15,51703,3511,144,2.2,1594.19,ad_group_5
221,10/10/15,51275,3307,251,1.97,4816.49,ad_group_5
222,10/11/15,53671,3314,262,1.88,6211.05,ad_group_5
223,10/12/15,0,0,0,0.0,0.0,ad_group_5
224,10/13/15,51312,3451,204,2.13,1532.23,ad_group_5
225,10/14/15,49646,3239,194,2.03,3383.84,ad_group_5
226,10/15/15,54013,3113,219,1.95,3339.15,ad_group_5
227,10/16/15,54728,3525,264,2.04,4890.3,ad_group_5
228,10/17/15,55677,3890,239,2.14,2747.01,ad_group_5
229,10/18/15,52309,3752,192,2.11,3634.47,ad_group_5
230,10/19/15,50472,3465,172,2.13,2762.59,ad_group_5
231,10/20/15,56946,3331,215,1.9,3815.05,ad_group_5
232,10/21/15,52872,3417,257,2.04,5051.79,ad_group_5
233,10/22/15,55038,3707,236,2.19,3767.73,ad_group_5
234,10/23/15,56370,3031,199,1.93,3444.43,ad_group_5
235,10/24/15,57418,3067,190,1.79,4160.74,ad_group_5
236,10/25/15,53563,3384,236,2.03,3882.3,ad_group_5
237,10/26/15,47770,3013,204,2.05,3059.62,ad_group_5
238,10/27/15,53050,3860,217,2.41,3760.36,ad_group_5
239,10/28/15,51714,3118,235,1.85,2946.97,ad_group_5
240,10/29/15,51098,3031,217,1.94,5535.4,ad_group_5
241,10/30/15,54978,3967,206,2.27,4248.09,ad_group_5
242,10/31/15,57164,3597,224,2.01,3819.95,ad_group_5
243,11/1/15,53497,3362,269,1.98,4908.69,ad_group_5
244,11/2/15,53184,3695,227,2.09,4698.16,ad_group_5
245,11/3/15,51764,3128,194,2.01,3429.58,ad_group_5
246,11/4/15,54222,2680,244,1.9,5672.91,ad_group_5
247,11/5/15,51459,2913,263,1.72,3814.34,ad_group_5
248,11/6/15,49860,3930,180,2.42,3075.76,ad_group_5
249,11/7/15,53999,3229,220,2.03,3148.65,ad_group_5
250,11/8/15,53272,3304,187,1.94,2161.74,ad_group_5
251,11/9/15,53674,3618,255,2.0,1103.02,ad_group_5
252,11/10/15,54776,3621,182,1.97,3398.06,ad_group_5
253,11/11/15,52699,2645,252,1.85,3617.23,ad_group_5
254,11/12/15,55159,3597,199,1.88,3415.06,ad_group_5
255,11/13/15,52207,3463,209,2.12,2524.73,ad_group_5
256,11/14/15,53435,3724,218,2.12,3043.25,ad_group_5
257,11/15/15,52354,3309,200,1.99,2979.31,ad_group_5
258,11/16/15,54462,3555,214,2.12,2811.31,ad_group_5
259,11/17/15,54235,3676,245,2.11,4270.76,ad_group_5
260,11/18/15,53804,3280,203,1.79,3350.88,ad_group_5
261,11/19/15,55582,3268,222,2.04,3498.45,ad_group_5
262,11/20/15,53701,3687,206,2.15,4264.04,ad_group_5
263,11/21/15,52281,3119,233,2.01,5192.94,ad_group_5
264,11/22/15,56566,3668,265,1.86,3511.08,ad_group_5
265,10/1/15,33559,1126,15,1.62,238.79,ad_group_6
266,10/2/15,35711,1191,20,1.5,262.54,ad_group_6
267,10/3/15,37048,1308,22,1.77,208.01,ad_group_6
268,10/4/15,37934,1331,25,1.66,251.88,ad_group_6
269,10/5/15,34870,1210,21,1.59,327.18,ad_group_6
270,10/6/15,34167,1142,20,1.79,299.95,ad_group_6
271,10/7/15,36650,1226,24,1.56,282.31,ad_group_6
272,10/8/15,41144,1456,23,1.57,342.82,ad_group_6
273,10/9/15,41332,1110,24,1.4,352.01,ad_group_6
274,10/10/15,39516,1547,22,1.75,490.58,ad_group_6
275,10/11/15,38025,1445,22,1.75,285.97,ad_group_6
276,10/12/15,40404,1323,22,1.53,371.93,ad_group_6
277,10/13/15,39303,1351,24,1.68,313.45,ad_group_6
278,10/14/15,42171,1375,27,1.71,298.12,ad_group_6
279,10/15/15,37143,1296,22,1.71,225.51,ad_group_6
280,10/16/15,41047,1168,22,1.48,283.04,ad_group_6
281,10/17/15,41891,1484,18,1.54,305.86,ad_group_6
282,10/18/15,41370,1523,23,1.63,546.01,ad_group_6
283,10/19/15,37533,1211,23,1.5,476.75,ad_group_6
284,10/20/15,40135,1431,22,1.63,332.65,ad_group_6
285,10/21/15,38414,1280,23,1.59,448.41,ad_group_6
286,10/22/15,42439,1264,26,1.41,175.44,ad_group_6
287,10/23/15,40045,1213,23,1.6,264.12,ad_group_6
288,10/24/15,38089,1392,21,1.64,419.71,ad_group_6
289,10/25/15,39236,1232,25,1.53,372.99,ad_group_6
290,10/26/15,42717,1441,27,1.56,280.36,ad_group_6
291,10/27/15,41415,1307,18,1.49,156.0,ad_group_6
292,10/28/15,40440,1449,28,1.51,643.28,ad_group_6
293,10/29/15,39907,1624,25,1.7,482.88,ad_group_6
294,10/30/15,40201,1246,19,1.46,198.44,ad_group_6
295,10/31/15,43538,1596,26,1.78,428.23,ad_group_6
296,11/1/15,38802,1391,22,1.64,205.11,ad_group_6
297,11/2/15,36919,1125,24,1.55,555.54,ad_group_6
298,11/3/15,42654,1280,25,1.43,192.79,ad_group_6
299,11/4/15,41914,1217,24,1.33,343.08,ad_group_6
300,11/5/15,40198,1288,26,1.57,197.27,ad_group_6
301,11/6/15,41027,1368,22,1.72,291.79,ad_group_6
302,11/7/15,39707,1379,21,1.69,482.22,ad_group_6
303,11/8/15,39917,1307,19,1.64,165.64,ad_group_6
304,11/9/15,40675,1459,22,1.68,346.91,ad_group_6
305,11/10/15,38022,1284,15,1.66,177.2,ad_group_6
306,11/11/15,38789,1277,25,1.5,409.32,ad_group_6
307,11/12/15,39353,1216,28,1.68,445.28,ad_group_6
308,11/13/15,38041,1195,18,1.45,363.89,ad_group_6
309,11/14/15,40487,1508,23,1.55,169.74,ad_group_6
310,11/15/15,38704,1225,24,1.62,272.38,ad_group_6
311,11/16/15,41754,1475,32,1.61,464.7,ad_group_6
312,11/17/15,41141,1399,22,1.51,465.04,ad_group_6
313,11/18/15,39796,1309,27,1.38,518.43,ad_group_6
314,11/19/15,39279,1491,25,1.65,274.26,ad_group_6
315,11/20/15,42028,1280,26,1.56,449.09,ad_group_6
316,11/21/15,40088,1314,26,1.47,470.62,ad_group_6
317,11/22/15,40800,1241,26,1.48,409.55,ad_group_6
318,10/1/15,48431,3475,24,1.5,396.23,ad_group_7
319,10/2/15,51042,4387,24,1.79,391.11,ad_group_7
320,10/3/15,48027,4558,22,1.96,284.86,ad_group_7
321,10/4/15,51300,3632,27,1.48,382.16,ad_group_7
322,10/5/15,49241,5186,20,2.17,436.94,ad_group_7
323,10/6/15,49397,5457,22,2.28,449.32,ad_group_7
324,10/7/15,49092,4332,22,1.83,362.18,ad_group_7
325,10/8/15,57295,5777,25,2.08,555.54,ad_group_7
326,10/9/15,61783,4865,27,1.65,392.4,ad_group_7
327,10/10/15,60804,6065,30,2.06,570.74,ad_group_7
328,10/11/15,60140,4443,22,1.54,305.48,ad_group_7
329,10/12/15,56378,4829,24,1.79,439.93,ad_group_7
330,10/13/15,54029,5025,27,1.92,474.02,ad_group_7
331,10/14/15,57754,4461,27,1.61,671.05,ad_group_7
332,10/15/15,56253,4627,27,1.71,151.78,ad_group_7
333,10/16/15,53060,5330,25,2.08,436.39,ad_group_7
334,10/17/15,53555,5174,24,1.99,371.09,ad_group_7
335,10/18/15,58944,5433,30,1.9,538.36,ad_group_7
336,10/19/15,57219,5018,22,1.82,339.23,ad_group_7
337,10/20/15,57710,5122,24,1.84,508.91,ad_group_7
338,10/21/15,58277,5528,24,1.96,476.1,ad_group_7
339,10/22/15,55163,4722,26,1.78,510.9,ad_group_7
340,10/23/15,56005,5722,25,2.11,373.78,ad_group_7
341,10/24/15,58313,4929,25,1.75,416.64,ad_group_7
342,10/25/15,55731,4551,23,1.71,264.08,ad_group_7
343,10/26/15,56933,4971,24,1.81,213.04,ad_group_7
344,10/27/15,58472,6127,25,2.17,348.5,ad_group_7
345,10/28/15,55046,4786,22,1.8,320.12,ad_group_7
346,10/29/15,60046,4588,25,1.59,364.54,ad_group_7
347,10/30/15,56401,5134,27,1.87,533.46,ad_group_7
348,10/31/15,59376,5329,27,1.87,593.23,ad_group_7
349,11/1/15,56429,4828,27,1.78,455.81,ad_group_7
350,11/2/15,54292,4707,22,1.8,627.95,ad_group_7
351,11/3/15,58089,5024,22,1.78,465.26,ad_group_7
352,11/4/15,55553,4840,29,1.81,599.48,ad_group_7
353,11/5/15,54569,4473,21,1.7,92.79,ad_group_7
354,11/6/15,54417,4756,23,1.81,503.08,ad_group_7
355,11/7/15,54555,5279,24,2.0,216.34,ad_group_7
356,11/8/15,54761,4522,26,1.71,354.39,ad_group_7
357,11/9/15,58321,4703,24,1.69,534.86,ad_group_7
358,11/10/15,58434,5572,25,1.97,359.9,ad_group_7
359,11/11/15,57076,4390,27,1.6,291.88,ad_group_7
360,11/12/15,54202,3717,24,1.44,296.0,ad_group_7
361,11/13/15,55216,4402,26,1.66,477.31,ad_group_7
362,11/14/15,56212,4717,28,1.75,602.11,ad_group_7
363,11/15/15,57244,4801,23,1.75,287.35,ad_group_7
364,11/16/15,56840,4566,26,1.67,397.64,ad_group_7
365,11/17/15,58996,5236,24,1.84,423.38,ad_group_7
366,11/18/15,55421,5052,29,1.89,454.09,ad_group_7
367,11/19/15,56935,4270,26,1.56,549.56,ad_group_7
368,11/20/15,53520,4600,25,1.78,397.97,ad_group_7
369,11/21/15,57626,4611,32,1.68,226.17,ad_group_7
370,11/22/15,56528,5445,24,1.99,252.87,ad_group_7
371,10/1/15,38089,2555,75,2.14,917.8,ad_group_8
372,10/2/15,37322,2548,66,2.0,852.62,ad_group_8
373,10/3/15,36878,2444,57,2.15,1082.23,ad_group_8
374,10/4/15,35019,2546,56,2.35,710.67,ad_group_8
375,10/5/15,38195,2354,65,2.13,823.55,ad_group_8
376,10/6/15,39702,2010,79,1.69,967.91,ad_group_8
377,10/7/15,37078,2277,54,1.9,592.41,ad_group_8
378,10/8/15,42190,2116,74,1.77,597.1,ad_group_8
379,10/9/15,44114,2698,75,1.99,1217.93,ad_group_8
380,10/10/15,43509,2887,73,2.1,706.51,ad_group_8
381,10/11/15,40341,2394,69,1.96,546.77,ad_group_8
382,10/12/15,41306,2678,65,1.99,616.6,ad_group_8
383,10/13/15,43178,2434,76,1.83,1331.97,ad_group_8
384,10/14/15,40855,2514,67,1.94,665.47,ad_group_8
385,10/15/15,47404,3076,79,2.12,1339.64,ad_group_8
386,10/16/15,46949,2950,79,2.09,1310.35,ad_group_8
387,10/17/15,47618,2999,83,2.0,1766.1,ad_group_8
388,10/18/15,43080,2988,78,2.2,1619.59,ad_group_8
389,10/19/15,40887,2777,77,2.2,951.69,ad_group_8
390,10/20/15,44620,2727,74,1.83,731.73,ad_group_8
391,10/21/15,46338,2343,79,1.74,743.15,ad_group_8
392,10/22/15,47264,2740,82,1.94,1839.05,ad_group_8
393,10/23/15,45244,2285,86,1.78,1707.46,ad_group_8
394,10/24/15,45116,2794,76,2.0,904.64,ad_group_8
395,10/25/15,43567,2844,69,2.05,1124.33,ad_group_8
396,10/26/15,43864,2778,67,1.93,919.05,ad_group_8
397,10/27/15,46296,3279,67,2.13,1006.99,ad_group_8
398,10/28/15,48201,3006,94,1.92,1947.51,ad_group_8
399,10/29/15,44534,2373,67,1.89,1356.38,ad_group_8
400,10/30/15,44727,2538,79,1.8,575.41,ad_group_8
401,10/31/15,46766,2870,90,1.95,1006.02,ad_group_8
402,11/1/15,41547,2915,79,1.97,929.81,ad_group_8
403,11/2/15,44413,2426,77,1.96,741.92,ad_group_8
404,11/3/15,44727,2770,68,1.97,230.51,ad_group_8
405,11/4/15,43411,2814,82,1.97,1970.69,ad_group_8
406,11/5/15,46053,2725,77,1.94,1163.04,ad_group_8
407,11/6/15,44097,2557,81,1.84,736.42,ad_group_8
408,11/7/15,45919,2757,78,2.04,2081.0,ad_group_8
409,11/8/15,45852,2876,77,1.99,1384.72,ad_group_8
410,11/9/15,44825,2278,74,1.77,908.41,ad_group_8
411,11/10/15,45784,2754,80,2.0,844.36,ad_group_8
412,11/11/15,42756,2870,65,2.03,698.24,ad_group_8
413,11/12/15,45529,2827,75,2.0,924.57,ad_group_8
414,11/13/15,47398,2462,76,1.8,1223.77,ad_group_8
415,11/14/15,46691,2577,90,1.92,1268.74,ad_group_8
416,11/15/15,47118,2564,75,1.92,589.98,ad_group_8
417,11/16/15,47398,3100,81,2.05,282.23,ad_group_8
418,11/17/15,44560,2464,78,1.9,1223.84,ad_group_8
419,11/18/15,46764,2193,84,1.71,1068.82,ad_group_8
420,11/19/15,47632,2793,83,1.78,940.5,ad_group_8
421,11/20/15,45424,2921,78,2.08,1259.17,ad_group_8
422,11/21/15,46754,2626,88,1.84,1440.78,ad_group_8
423,11/22/15,43832,2650,85,1.95,1516.56,ad_group_8
424,10/1/15,102898,221,1,0.09,14.85,ad_group_9
425,10/2/15,110227,246,1,0.1,15.7,ad_group_9
426,10/3/15,109790,219,1,0.1,12.1,ad_group_9
427,10/4/15,111172,220,1,0.09,20.08,ad_group_9
428,10/5/15,120625,243,1,0.09,14.14,ad_group_9
429,10/6/15,110492,217,1,0.09,8.14,ad_group_9
430,10/7/15,116299,232,1,0.09,15.65,ad_group_9
431,10/8/15,111228,241,1,0.09,7.73,ad_group_9
432,10/9/15,117268,205,1,0.09,5.86,ad_group_9
433,10/10/15,117875,229,1,0.09,13.02,ad_group_9
434,10/11/15,113366,235,1,0.09,11.18,ad_group_9
435,10/12/15,128842,282,1,0.09,16.52,ad_group_9
436,10/13/15,119826,237,1,0.1,15.44,ad_group_9
437,10/14/15,114299,218,1,0.08,15.5,ad_group_9
438,10/15/15,112884,245,1,0.09,17.13,ad_group_9
439,10/16/15,116417,238,1,0.09,9.01,ad_group_9
440,10/17/15,118083,251,1,0.09,11.29,ad_group_9
441,10/18/15,127098,286,1,0.1,12.83,ad_group_9
442,10/19/15,120699,276,1,0.1,10.61,ad_group_9
443,10/20/15,121617,252,1,0.08,23.84,ad_group_9
